month,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jan,501,296,333,531,401,720,548,424,340,320,351,627
Feb,398,195,278,400,286,560,347,438,428,246,222,612
Mar,344,267,338,540,401,531,483,417,350,240,329,828
Apr,320,297,319,509,431,673,465,392,420,236,394,1045
May,364,339,324,532,546,663,473,388,367,256,549,541
Jun,400,394,423,780,661,796,499,440,428,250,480,379
Jul,620,862,768,959,994,1122,746,703,522,441,611,647
Aug,507,541,648,913,929,938,631,546,418,377,481,713
Sept,603,458,562,784,802,849,741,601,548,316,665,451
Oct,329,482,649,686,804,805,667,496,495,286,746,528
Nov,327,372,451,786,815,552,913,499,361,541,699,442
Dec,296,311,541,681,777,531,441,358,512,246,759,370
